"Michael Douglas","Sharon Stone","George Dzundza","Paul Verhoeven","TriStar Pictures",NULL,"2104 Broadway","Carolco Pictures",1992,"Basic Instinct","Joe Eszterhas"
"Brendan Fraser","Elizabeth Hurley",NULL,"Harold Ramis","Twentieth Century Fox Film Corp.",NULL,"Washington Square Park (Filbert\, between Stockton and Powell)","Twentieth Century Fox Film Corp.",2000,"Bedazzled","Harold Ramis"
"Cate Blanchett","Alec Baldwin","Peter Sarsgaard","Woody Allen","Sony Pictures Classics",NULL,"5546 Geary Ave","Perdido Productions",2013,"Blue Jasmine","Woody Allen"
"Richard Gere","Juliette Binoche",NULL,"Scott McGehee","Fox Searchlight Pictures",NULL,NULL,"Bee Season Productions",2005,"Bee Season","David Siegel"
"Robin Williams",NULL,NULL,"Chris Columbus","Buena Vista Pictures","The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954\, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.","City Hall","1492 Pictures",1999,"Bicentennial Man","Nicholas Kazan"
"Amy Adams","Krysten Ritter","Christoph Waltz","Tim Burton","Weinstein Company",NULL,"Caffe Trieste","Blink & Wink Productions",2014,"Big Eyes","Scott Alexander"
"Cate Blanchett","Alec Baldwin","Peter Sarsgaard","Woody Allen","Sony Pictures Classics",NULL,"Jones & Pacific","Perdido Productions",2013,"Blue Jasmine","Woody Allen"
"Freddie Prinze\, Jr.","Alyson Hannigan",NULL,"Robert Iscove","Dimension Films","Supposedly\, Mikhail S. Gorbachev has said that his favorite part of visiting America was touring Fisherman's Wharf.","Fisherman's Wharf","Punch 21 Productions",2000,"Boys and Girls","The Drews"
"Gary Oldman","Keri Russell","Andy Serkis","Matt Reeves","Twentieth Century Fox",NULL,"California & Powell ","Fox Louisiana Productions\, LLC",2014,"Dawn of the Planet of the Apes","Rick Jaffa"
"Eddie Murphy","Ossie Davis",NULL,"Betty Thomas","Twentieth Century Fox Film Cooperation","The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit\, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle\, it was not designed this way.","Coit Tower","Twentieth Century Fox Film Cooperation",1998,"Doctor Dolittle","Nat Mauldin"
